question,contexts,ground_truth,evolution_type,metadata,episode_done
Wie können Sie bequem online kündigen?,['Sie können die Option einfach und bequemonline\xa0kündigen. '],Sie können die Option einfach und bequem online kündigen.,simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_hilfe_apps-dienste_apps_apple-music_apple-music-kuendigen.txt'}],True
"What ist der Vorteil einer eSIM, um sich mit dem Netz zu verbinden?","['Source URL: https://www.telekom.de/unterwegs/tarife-und-optionen/prepaid-tarife/magentamobil-prepaid-l\n\nQuestion: Welchen SIM-Typ benötigen Sie für Ihr Gerät? Answer: Eine eSIM ist eine integrierte SIM, die als Chipsatz bereits fest in Ihrem Gerät eingebaut ist. Sie müssen keine SIM-Karte mehr in Ihr Gerät einsetzen, um sich mit unserem Netz zu verbinden.']","Der Vorteil einer eSIM ist, dass sie als integrierte SIM bereits fest in Ihrem Gerät eingebaut ist, sodass Sie keine SIM-Karte mehr einsetzen müssen, um sich mit dem Netz zu verbinden.",simple,[{'source': '/Users/taha/Desktop/rag/data/Geräte & Zubehör/https___www.telekom.de_unterwegs_tarife-und-optionen_prepaid-tarife_magentamobil-prepaid-l.txt'}],True
What steps can be taken to deactivate a secondary number on a Speedport Router?,"['Source URL: https://telekomhilft.telekom.de/t5/Festnetz-Internet/Ich-habe-zwei-Festnetznummern-und-eine-Speedport-Router-und/td-p/6950147/jump-to/first-unread-message\nSubject: Ich habe zwei Festnetznummern und eine. Speedport Router und möchte, dass nur noch Anrufe unter der Hauptnummer ankommen. Content: Ich habe zwei Festnetznummern, die über meinen Speedport laufen. Ich möchte eine Nummer deaktivieren, so dass nur noch Anrufe der Hauptnummer ankommen. Accepted Solutions:\n- Guten Abend & willkommen@GM20!@GM20schrieb: Ich habe zwei Festnetznummern, die über meinen Speedport laufen. Ich möchte eine Nummer deaktivieren, so dass nur noch Anrufe der Hauptnummer ankommenLieben Dank, dass du zu uns gefunden hast. Du schreibst, dass eine Anfängerin bist und du weißt dir zu helfen, also alles prima.Wenn ich es so sehe, haben dir@Marcel2605,@Ludwig IIund@DMSEtatkräftig unter die Arme gegriffen, danke euch.@GM20schrieb: Fantastisch, danke!Würde tippen, dass du erfolgreich warst.😄GreetzStefan\n- Hallo@GM20Im Prinzip ähnlich, was ich oben bverlinkt habe.Im Anhang die Anleitung.Ab Seite 147\n- @GM20Schau mal in der BA des Speedport W921Vhttps://www.telekom.de/hilfe/downloads/bedienungsanleitung-speedport-w-921v.pdfab Seite 68... - @GM20Schau mal in der BA des Speedport W921Vhttps://www.telekom.de/hilfe/downloads/bedienungsanleitung-speedport-w-921v.pdfab Seite 68... - Hallo@GM20Im Prinzip ähnlich, was ich oben bverlinkt habe.Im Anhang die Anleitung.Ab Seite 147\n- Guten Abend & willkommen@GM20!@GM20schrieb: Ich habe zwei Festnetznummern, die über meinen Speedport laufen. Ich möchte eine Nummer deaktivieren, so dass nur noch Anrufe der Hauptnummer ankommenLieben Dank, dass du zu uns gefunden hast.']",The answer to given question is not present in context,simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/telekomhilft.telekom.de_t5_Festnetz-Internet_Ich-habe-zwei-Festnetznummern-und-eine-Speedport-Router-und_td-p_6950147_jump-to_first-unread-message.txt'}],True
When wird mein Festnetz-Anschluss von der Telekom freigeschaltet?,"['Source URL: https://www.telekom.de/hilfe/internet-telefonie/internet/einrichtung-einstellungen/freischaltung\n\nQuestion: Wann schaltet die Telekom meinen Festnetz-Anschluss frei? Answer: Egal, ob es sich um einen Neuanschluss, Anbieterwechsel oder Umzug handelt, Sie finden den Termin und das Zeitfenster der Bereitstellung (ob mit oder ohne Einsatz unserer technischen Fachkraft vor Ort) in Ihrer Auftragsbestätigung. Wenn eine technische Fachkraft, z.']","Egal, ob es sich um einen Neuanschluss, Anbieterwechsel oder Umzug handelt, Sie finden den Termin und das Zeitfenster der Bereitstellung in Ihrer Auftragsbestätigung.",simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_hilfe_internet-telefonie_internet_einrichtung-einstellungen_freischaltung.txt'}],True
"What ist der monatliche Rabatt, den man mit dem Magenta 1 Vorteil auf die Haupt-Mobilfunk-Karte erhält?","['Question:\nBasierend auf dem Magenta 1 Vorteil, wie viel kann ich monatlich bei meiner Mobilfunk Hauptkarte sparen? Answer:\nMit dem Magenta 1 Vorteil der Telekom können sowohl individuelle Kunden als auch ihre Familien sparen. Wenn Sie sowohl Mobilfunk- als auch Festnetzkunde sind, erhalten Sie einen monatlichen Rabatt von 5 Euro auf Ihre Haupt-Mobilfunk-Karte. Sie können Ihre Familie und Freunde in Ihren Mobilfunkvertrag aufnehmen, wobei die ersten und folgenden Magenta-Mobil-Plus-Karten monatlich jeweils 19,95 Euro kosten. Je mehr Personen dem Vertrag beitreten, desto günstiger wird es insgesamt.']","Der monatliche Rabatt, den man mit dem Magenta 1 Vorteil auf die Haupt-Mobilfunk-Karte erhält, beträgt 5 Euro.",simple,"[{'source': '/Users/taha/Desktop/rag/data/MagentaEINS/youtube_Die neuen MagentaMobil Angebote für alle, die Familie sind - MagentaEins Vorteil.txt'}]",True
What is the significance of WPA2 in the context of router settings?,['- WPA2 ist von mir voreingestellt.Aber nach dem Neustart des Routers funktionierte das Einloggen wieder. '],The answer to given question is not present in context,simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/telekomhilft.telekom.de_t5_Festnetz-Internet_Login-funktioniert-nicht-Antwort-hat-zu-lange-gedauert_td-p_6945473_jump-to_first-unread-message.txt'}],True
What steps did Stephan take to address the issues with his internet connection after reconnecting the Speedport?,"['Ich werde nochmal den Speedport anschliessen. Ansonsten war die Leitung Stabil die Nacht über.Es bleibt Spannend.Beste Grüße Stephan\n- Hallo,der Techniker war vor Ort und hat folgendes Festgestellt. Auf meinen DSL Anschluss waren erhebliche fehler zu Messen und zwar zwischen zwei Verteilungen. Dort waren mein und ein Zweiter HighSpeed Anschlüsse direck nebeneinander. Der Techniker hat meinen Anschluss umgeklemmt und die Fehler waren Weg. Anschliessend hat er bei mir gemessen und eswaren bist zu 91Mbit möglich mit ganz wenigen Fehlern. Den Up und download Test haben wir 20 Minuten laufen lassen keine Fehler oder abbrüche.Anschloeßend haben ich die Fritzbox 7590 AX wieder angeschlossen und den Leistungsregler auf Max Performance gestellt, es waren aber nur max 61,90Mb down und 37,02Mb Up angezeigt. Warum das so ist keine Ahnung.']","Stephan reconnected the Speedport and then had a technician come to check the DSL connection. The technician found significant errors between two distributions, which were resolved by reconfiguring Stephan's connection. After the adjustments, the technician measured the connection, achieving speeds of up to 91 Mbit with very few errors. They conducted a 20-minute upload and download test with no errors or interruptions. Finally, Stephan reconnected the Fritzbox 7590 AX and set the performance regulator to Max Performance, but only achieved maximum speeds of 61.90 Mb down and 37.02 Mb up.",simple,[{'source': '/Users/taha/Desktop/rag/data/Geräte & Zubehör/telekomhilft.telekom.de_t5_Festnetz-Internet_DSL-instabil-seit-Ostern-2023_td-p_6961575_jump-to_first-unread-message.txt'}],True
"What passiert, wenn die Option 'Lüften' in den Heizungseinstellungen von Magenta SmartHome aktiviert wird?","['Source URL: https://www.telekom.de/hilfe/geraete-zubehoer/smart-home/hilfe-zur-einrichtung-von-smart-home/einrichten-der-heizungssteuerung/beheizter-raum-fenster-oeffnen\n\nQuestion: Was bedeutet bei Magenta SmartHome ""Lüften"" in den Heizungseinstellungen? Answer: Haben Sie Heizkörperthermostate und Tür-/Fensterkontakte dem gleichen Raum zugeordnet und zudem im Menü ""Heizung"" unter ""Heizungseinstellungen"" (""Rädchen""-Symbol) die Option ""Lüften"" aktiviert, so werden die Heizkörperthermostate auf die eingestellte Frostschutz-Temperatur herunter geregelt, sobald im selben Raum eine Tür oder ein Fenster geöffnet wird. Nach Schließen der Tür oder des Fensters wird die vorher eingestellte Soll-Temperatur am Heizkörperthermostat per Schaltbefehl wieder eingestellt. Ist während des Zeitraums, in dem Ihr Fenster geöffnet ist, ein Schaltvorgang in Ihrer Heizungssteuerung für den betreffenden Raum vorgesehen, so wird dieser unterdrückt. Gleiches gilt, wenn Sie versuchen, über die Fernbedienung eine neue Soll-Temperatur am Heizkörperthermostat vorzugeben.']","Wenn die Option 'Lüften' in den Heizungseinstellungen von Magenta SmartHome aktiviert wird, werden die Heizkörperthermostate auf die eingestellte Frostschutz-Temperatur herunter geregelt, sobald im selben Raum eine Tür oder ein Fenster geöffnet wird. Nach dem Schließen der Tür oder des Fensters wird die vorher eingestellte Soll-Temperatur am Heizkörperthermostat per Schaltbefehl wieder eingestellt. Während das Fenster geöffnet ist, wird ein Schaltvorgang in der Heizungssteuerung für den betreffenden Raum unterdrückt.",simple,[{'source': '/Users/taha/Desktop/rag/data/Geräte & Zubehör/https___www.telekom.de_hilfe_geraete-zubehoer_smart-home_hilfe-zur-einrichtung-von-smart-home_einrichten-der-heizungssteuerung_beheizter-raum-fenster-oeffnen.txt'}],True
"What passiert im Gewährleistungsfall, wenn der Artikel nicht vorrätig ist?","['Falls der Artikel nicht vorrätig ist, erfolgt eine Kaufrückabwicklung. Du musst in jedem Fall einen Kaufnachweis vorweisen.@der_Lutz@der_Lutz jain -\xa0 FYI Handlungsanweisung: direkten Weg zum Hersteller aufzeigen. Bei ausdrücklichem Wunsch, dann Verweis auf den nächstgelegenen Shop.Habt einen schönen Start in den Sonntag!Freundliche GrüßeCaro\n- Hallöchen und guten Morgen, @danielundpetra.bauer.@danielundpetra.bauerMandy hat dir bereits die richtigen Kontaktangaben mit an die Hand gegeben.Über den Hersteller kann die Prüfung direkt erfolgen.Du kannst aber auch den Weg über uns gehen - über den nächstgelegenen Telekom-Shop.https://www.telekom.de/telekom-shopsIm Gewährleistungsfall prüft der Shop, ob er den Artikel vorrätig hat und ob er dir Ersatz mitgeben kann. Falls der Artikel nicht vorrätig ist, erfolgt eine Kaufrückabwicklung. Du musst in jedem Fall einen Kaufnachweis vorweisen.@der_Lutz@der_Lutz jain -\xa0 FYI Handlungsanweisung: direkten Weg zum Hersteller aufzeigen. Bei ausdrücklichem Wunsch, dann Verweis auf den nächstgelegenen Shop.Habt einen schönen Start in den Sonntag!Freundliche GrüßeCaro\n']","Im Gewährleistungsfall prüft der Shop, ob er den Artikel vorrätig hat und ob er dir Ersatz mitgeben kann. Falls der Artikel nicht vorrätig ist, erfolgt eine Kaufrückabwicklung. Du musst in jedem Fall einen Kaufnachweis vorweisen.",simple,[{'source': '/Users/taha/Desktop/rag/data/Geräte & Zubehör/telekomhilft.telekom.de_t5_Sonstiges_Apple-AirPods-Pro-mit-MagSafe-Ladecase-sind-defekt_td-p_6974638_jump-to_first-unread-message.txt'}],True
What information can typically be found on the label on the back or underside of a router regarding the Gerätepasswort?,"['Ein Tipp:Schauen Sie auf der Rückseite bzw. Unterseite des Routers nach einem Etikett. Dort steht meist neben dem Gerätepasswort auch der WLAN-Schlüssel. Wenn das nicht hilft, gibt es verschiedene Möglichkeiten, wie Sie die Verbindung wiederherstellen können:\n\n']","Typically, the label on the back or underside of a router contains the Gerätepasswort (device password) and the WLAN-Schlüssel (WLAN key).",simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_hilfe_geraete-zubehoer_heimnetzwerk-powerline-wlan_wlan-und-mehr_wlan-einstellungen-vergessen.txt'}],True
