question,contexts,ground_truth,evolution_type,metadata,episode_done
What ist die gesetzliche Verjährungsfrist für die Auszahlung des Restguthabens einer gekündigten Prepaid-Karte?,"['Source URL: https://www.telekom.de/hilfe/mobilfunk/tarife-optionen/prepaid-tarife/restguthaben-auszahlen\n\nQuestion: Wie kann ich mir das Restguthaben der gekündigten Prepaid-Karte auszahlen lassen? Answer: Über unserKontaktformularhaben Sie die Möglichkeit, Ihr Prepaid Restguthaben innerhalb der gesetzlichen Verjährungsfrist (laufendes Jahr der Kündigung und 3 weitere Jahre) auszahlen zu lassen. Hinweis: Das Guthaben kann nicht auf eine andere Prepaid-Karte übertragen werden.']",Die gesetzliche Verjährungsfrist für die Auszahlung des Restguthabens einer gekündigten Prepaid-Karte beträgt das laufende Jahr der Kündigung und 3 weitere Jahre.,simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_hilfe_mobilfunk_tarife-optionen_prepaid-tarife_restguthaben-auszahlen.txt'}],True
What sind die Bedingungen für die Nutzung der Travel Mobil Optionen im Ausland?,"['hr Reiseland finden Siehier. Für die mobile Datennutzung außerhalb Europas können Sie auch unsere günstigen Travel & Surf Pässe buchen. Diese sind unter www.pass.telekom.de buchbar, sobald Sie in Ihrem Reiseland angekommen sind. Weitere Informationen finden Sie unterTravel & Surf. Question: Wie kann ich die Option bei einer Vorabbuchung stornieren? Answer: Rufen Sie einfach unsere Hotline an (Kurzwahl2202) und lassen Sie die Option stornieren. Eine Vorabbuchung ist bis drei Stunden vor Beginn der Gültigkeit jederzeit stornierbar. Question: Entstehen zusätzliche Kosten für ankommende Anrufe im Ausland, wenn ich eine Travel Mobil Option nutze? Answer: Innerhalb des jeweils zur Verfügung stehenden Minuten-Budgets entstehen keine zusätzlichen Kosten für ankommende Anrufe, auch nicht für eventuelle Zuschläge lokaler Netzbetreiber. Question: Gelten die Travel Mobil Optionen auch für WLAN Call? Answer: Nein, die Optionen gelten nicht für Telefonate über WLAN Call. Das bedeutet, dass für Telefonate über WLAN Call zusätzliche Kosten anfallen können. Wir empfehlen daher, im Ausland WLAN Call zu deaktivieren, wenn Sie Travel Mobil oder Travel Mobil World gebucht haben. Weitere Informationen finden Sie unterWLAN Call im Ausland. Question: Was genau bedeutet eine Laufzeit von einem Monat? Answer: Die Option gilt immer bis inklusive des Vortages des Folgemonats. Wenn Sie z.']","Die Bedingungen für die Nutzung der Travel Mobil Optionen im Ausland sind nicht direkt im Kontext angegeben. Es wird jedoch erwähnt, dass die Optionen nicht für Telefonate über WLAN Call gelten und dass innerhalb des verfügbaren Minuten-Budgets keine zusätzlichen Kosten für ankommende Anrufe entstehen. Weitere Informationen sind unter WLAN Call im Ausland verfügbar.",simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_unterwegs_tarife-und-optionen_roaming_travel-mobil-optionen.txt'}],True
What should you do if your Mobilteil is too far from the base station?,"['Answer: Es kann sein, dass sich Ihr Mobilteil zu weit von der Basisstation entfernt befindet. Sollte die Meldung auch bei Annäherung an die Basisstation nicht verschwinden, empfehlen wir Ihnen die Software neu zu starten. So führen Sie den Softwareneustart durch:\n• Entfernen Sie bitte aus der Basisstation den Netzstecker und das Telefonkabel für zwei Minuten. • Zur gleichen Zeit entfernen Sie aus allen angemeldeten Mobilteilen für zwei Minuten den Akku. ']","If your Mobilteil is too far from the base station, it is recommended to restart the software. To do this, you should unplug the power cord and telephone cable from the base station for two minutes, and at the same time, remove the battery from all registered Mobilteile for two minutes.",simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_hilfe_geraete-zubehoer_telefone-und-anlagen_informationen-zu-unseren-aktuellen-telefonen_display-anzeige-suche-reichweite.txt'}],True
What issues did the customer experience with the Kundenservice regarding the Gutschrift for the Persönliche Installation 2.0?,"['Source URL: https://telekomhilft.telekom.de/t5/Festnetz-Internet/Gutschrift-Persoenliche-Installation-2-0/td-p/6944838/jump-to/first-unread-message\nSubject: Gutschrift Persönliche Installation 2.0\nContent: Hallo zusammen,ich bin Juli in eine neue Wohnung gezogen und die Telekom kam um den Hausanschluss freizuschalten. Wie hier im Forum schon mehrfach beschrieben wurde mir dann vom Servicetechniker das Tablet zur Unterschrift entgegengestreckt um “zu bestätigen dass er da war” und auf der Rechnung, die ich dann später bekam, standen überraschenderweise fast 90 Euro brutto für eine Persönliche Installation 2.0 von der nie die Rede war!Nach mehrfachen Telefonaten mit dem Kundenservice (teilweise wurde nach 30 Minuten warten mitten im Gespräch aufgelegt) wurde mir bestätigt, dass mir der Betrag wieder gutgeschrieben wird. Als ich dann die erste Rechnung erhielt und der Betrag dort zu finden war, war ich wieder am Telefon und mir wurde versichert, dass es nächste Rechnung gutgeschrieben wird.Ich habe nun die Rechnung für September und der Saldo meines Kontos beinhaltet immer noch die Persönliche Installation 2.0. Kann mir hier jemand helfen?']","The customer experienced several issues with the Kundenservice regarding the Gutschrift for the Persönliche Installation 2.0. After being charged almost 90 Euro for a service that was not discussed, the customer had multiple phone calls with the Kundenservice, during which they faced long wait times and were sometimes disconnected. Although the customer was assured that the amount would be credited back, the first subsequent bill still included the charge for the Persönliche Installation 2.0, leading to further frustration.",simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/telekomhilft.telekom.de_t5_Festnetz-Internet_Gutschrift-Persoenliche-Installation-2-0_td-p_6944838_jump-to_first-unread-message.txt'}],True
What are the options for adding MagentaCloud to an existing Telekom contract?,"['Source URL: https://telekomhilft.telekom.de/t5/MagentaCLOUD/magentacloud-buchen/td-p/6959121/jump-to/first-unread-message\nSubject: magentacloud buchen\nContent: Liebe Community,weiß jemand, wie ich die MagentaCloud zu meinem bestehenden Telekom-Vertrag hinzubuchen kann? Wenn ich versuche, die MagentaCloud zu buchen, lande ich immer auf der Seite, auf der ich meine Kreditkarten-Info eingeben soll. Ich würde ja ganz gerne die MagentaCloud einfach zu meinem Vertrag dazubuchen, der wird ja sowieso jeden Monat vom Konto abgebucht, da wäre es doch nahe liegend, die Rechnung für die MagentaCloud gleich mit abzubuchen. Oder muss ich mir jetzt eine Kreditkarte anschaffen, um die MagentaCloud buchen zu können?Viele Grüße\n\nAccepted Solutions:\n- Hallo@DerGeograph,@DerGeographschrieb: Ich habe das Problem zwischenzeitlich anders für mich gelöst, das Ticket kann von mir aus geschlossen werden.danke für das Feedback. Sehr gut, dass du eine Lösung gefunden hast.Mit den größeren und kostenpflichtigen Versionen der MagentaCloud ist es so, dass diese wahlweise zu einem Festnetz-Vertrag oder zu einem unabhängigen Telekom-Login hinzugebucht werden können. Beim Festnetz-Vertrag erfolgt die Abrechnung über das hinterlegte Bankkonto (SEPA-Mandat).Beim unabhängigen Telekom-Login gibt es dagegen nur die Auswahl von Kreditkarte oder PayPal.Aber es gäbe noch eine weitere Möglichkeit. Sie nennt sich ""Zugang zu Telekom Diensten"". Hierfür erhält man Zugangsdaten und kann entsprechende kostenpflichtige Dienste buchen. Die Abrechnung würde in diesem Fall auch über ein Bankkonto laufen.Viele GrüßeJürgen\n- Hallo@DerGeograph,@DerGeographschrieb: Ich habe das Problem zwischenzeitlich anders für mich gelöst, das Ticket kann von mir aus geschlossen werden.danke für das Feedback. Sehr gut, dass du eine Lösung gefunden hast.Mit den größeren und kostenpflichtigen Versionen der MagentaCloud ist es so, dass diese wahlweise zu einem Festnetz-Vertrag oder zu einem unabhängigen Telekom-Login hinzugebucht werden können. Beim Festnetz-Vertrag erfolgt die Abrechnung über das hinterlegte Bankkonto (SEPA-Mandat).Beim unabhängigen Telekom-Login gibt es dagegen nur die Auswahl von Kreditkarte oder PayPal.Aber es gäbe noch eine weitere Möglichkeit. Sie nennt sich ""Zugang zu Telekom Diensten"". Hierfür erhält man Zugangsdaten und kann entsprechende kostenpflichtige Dienste buchen. Die Abrechnung würde in diesem Fall auch über ein Bankkonto laufen.Viele GrüßeJürgen\n']","The options for adding MagentaCloud to an existing Telekom contract include adding it to a Festnetz-Vertrag, where the billing is done through the linked bank account (SEPA mandate), or to an independent Telekom login, which only allows payment via credit card or PayPal. Additionally, there is an option called 'Zugang zu Telekom Diensten', which provides access credentials to book corresponding paid services, with billing also done through a bank account.",simple,[{'source': '/Users/taha/Desktop/rag/data/MagentaEINS/telekomhilft.telekom.de_t5_MagentaCLOUD_magentacloud-buchen_td-p_6959121_jump-to_first-unread-message.txt'}],True
What should you check if your device is unable to synchronize due to a lack of internet connection?,"['Neustarten des Telefons\n3. Aus- und Einschalten der Synchronisation\n4. Überprüfen der Einstellungen im iPhone oder iPad\n5. Führen Sie ein Software-Update für Ihr Telefon durch\n6. Neueinrichtung von Sync-Plus\n7. Überprüfen, ob der richtige Kalender für die Termine verwendet wird\n8. Überprüfen, ob das richtige Adressbuch für die Kontakte verwendet wird\n• Möglicherweise hat Ihr Gerät keine Verbindung ins Internet. In diesem Fall kann keine\xa0Synchronisation\xa0stattfinden. Überprüfen Sie, ob die Internet-Verbindung (Datenverbindung,\xa0WLAN\xa0oder\xa0HotSpot) Ihres Geräts eingeschaltet ist und warten Sie gegebenenfalls, bis Sie wieder Kontakt haben. Dann läuft die Synchronisation wie gewohnt weiter. • Oft können Fehler nur durch das einmalige Aus- und Einschalten des iPhones oder iPads behoben werden. Schalten Sie dazu Ihr Telefon aus und warten Sie einige Minuten ab, bevor Sie das Gerät erneut einschalten. Sollte der Fehler dann nochmals auftreten, fahren Sie mit dem nächsten Schritt fort. • Öffnen Sie die Einstellungen Ihres iPhones oder iPads und wählen Sie ""Mail /Accounts"". Stellen Sie dort den Datenabgleich auf ""Manuell"". Nach einem Geräteneustart stellen Sie auf gleichem Weg den Datenabgleich wieder auf ""Push"". • Rufen Sie die Einstellungen auf und wählen Sie dann ""Mail, Kontakte, Kalender"". • Überprüfen Sie, ob im Eingabefeld ""E-Mail"" Ihre E-Mail-Adresse @magenta.de/@t-online.de eingetragen ist. Als Benutzername und Kennwort sollten Ihre E-Mail-Adresse @magenta.de/@t-online.de und das zugehörige Passwort eingetragen sein. • Abschließend sollten Sie überprüfen, ob im Feld ""Server"" die Serveradresse ""spica.t-online.de"" eingetragen ist. Bestätigen Sie Ihre Überprüfung mit Klicks auf <Weiter> bzw.']","You should check whether the internet connection (data connection, WLAN, or HotSpot) of your device is turned on and wait until you regain contact. Once the connection is restored, synchronization should continue as usual.",simple,[{'source': '/Users/taha/Desktop/rag/data/Hilfe bei Störungen/https___www.telekom.de_hilfe_apps-dienste_apps_sync-plus_ios_funktioniert-nicht.txt'}],True
What are the eligibility requirements for the Mobile Happy Hour?,['Source URL: https://telekomhilft.telekom.de/t5/Mobilfunk/Mobile-Happy-Hour-wird-nicht-angezeigt/td-p/6964300/jump-to/first-unread-message\nSubject: Mobile Happy Hour wird nicht angezeigt\nContent: Ich habe den MagentaEINS Vertrag aber meine Mobile Happy Hour wird in der App nicht angezeigt. ( siehe Screenshot)\n\nAccepted Solutions:\n- @MatthisRschrieb:Der Mobilfunkvertrag ist schon älter als 01.08.2024.Dann bist du nicht berechtigt für HappyHour.Das geht erst für Verträge die ab dem 01.08.'],The eligibility requirement for the Mobile Happy Hour is that the mobile contract must be newer than 01.08.2024. Contracts older than this date are not eligible for Happy Hour.,simple,[{'source': '/Users/taha/Desktop/rag/data/MagentaEINS/telekomhilft.telekom.de_t5_Mobilfunk_Mobile-Happy-Hour-wird-nicht-angezeigt_td-p_6964300_jump-to_first-unread-message.txt'}],True
What benefits does the MagentaMobil Prepaid XL offer?,"['Aber die letzten beiden Punkte könnte die Telekom ja jederzeit streichen.Und beimMagentaMobil Prepaid XL hätte ich ja auch noch das Datengeschenk von 10 GB. Wären dann 35 GB.So richtig kann ich es nicht glauben.Bitte mal um Info.Danke\n\nAccepted Solutions:\n- Vielen lieben Dank für das sehr nette Telefonat,@jlxxx.Wie besprochen haben wir jetzt erfolgreich den Wechsel auf den Prepaid L vorgemerkt!Bitte melde dich sehr gerne bei mir, sollte der MagentaEINS Vorteil doch noch rausfallen - dann pflegen wir den kurzerhand wieder ein.Bis dahin wünsche ich dir noch einen schönen Start in den Abend und ich würde mich sehr über dein Feedback freuen!Freundliche GrüßeCaro\n- Vielen lieben Dank für das sehr nette Telefonat,@jlxxx.Wie besprochen haben wir jetzt erfolgreich den Wechsel auf den Prepaid L vorgemerkt!Bitte melde dich sehr gerne bei mir, sollte der MagentaEINS Vorteil doch noch rausfallen - dann pflegen wir den kurzerhand wieder ein.Bis dahin wünsche ich dir noch einen schönen Start in den Abend und ich würde mich sehr über dein Feedback freuen!Freundliche GrüßeCaro\n']",The answer to given question is not present in context,simple,[{'source': '/Users/taha/Desktop/rag/data/MagentaEINS/telekomhilft.telekom.de_t5_Mobilfunk_Komme-ich-wirklich-aus-meinen-Special-M-Vertrag-vorzeitig-raus_td-p_6944733_jump-to_first-unread-message.txt'}],True
What benefits do the new Magenta-Mobil-Tarife offer in relation to the 5G-Netz?,"['Ein weiterer Vorteil des Magenta 1 Vorteils liegt in der Verdopplung des Datenvolumens für jede Haupt- und zusätzliche Magenta-Mobil-Plus-Karte. Beim Tarif Magenta-Mobil-L wird aus ursprünglichen 40 Gigabyte nicht nur 80, sondern unbegrenztes Datenvolumen. Zusätzlich erhalten alle Kunden eine kostenlose Festnetz-Zumobilfunkflat und exklusive Servicevorteile, wie zum Beispiel einen kostenlosen Handy-Ersatz innerhalb von 48 Stunden. Mit den neuen Magenta-Mobil-Tarifen und dem Magenta 1 Vorteil ist das beste Netz der Telekom noch preiswerter und bietet viel Spaß im 5G-Netz. ']","Die neuen Magenta-Mobil-Tarife bieten im Zusammenhang mit dem 5G-Netz exklusive Servicevorteile, wie zum Beispiel einen kostenlosen Handy-Ersatz innerhalb von 48 Stunden, und machen das beste Netz der Telekom noch preiswerter und bieten viel Spaß im 5G-Netz.",simple,"[{'source': '/Users/taha/Desktop/rag/data/MagentaEINS/youtube_Die neuen MagentaMobil Angebote für alle, die Familie sind - MagentaEins Vorteil.txt'}]",True
What type of coverage does Sky Sport Kompakt offer for Bundesliga matches?,"['- Different pricing options for different types of customers. #### Sky Sport Kompakt:\n- **Channel Available:**\n  - Sky Sport Kompakt (Channel 321 HD). - **Additional Information:**\n  - Offers original Sky conference coverage for Bundesliga matches. ### Pricing Notes:\n1. **Magenta Sport:**\n   - Monthly subscription costs vary: \n     - For customers with MagentaTV products: **79.95 Euros/month**. - Other customers: **12.95 Euros/month**. - Minimum contract duration of 12 months applies. 2. **Data and Connectivity:**\n   - Mobile data usage billed based on respective mobile provider policies. The document encourages customers to check with their providers for specific terms and services related to their subscriptions. The image provides information regarding international add-on options for Magenta TV 2.0, effective from August 12, 2024. Here’s a summary of the key details:\n\n### International Add-On Packages for Magenta TV 2.0\n\n#### 1. **TV-Paket Po-Russki (Russian Package)**\n   - **Channels:**\n     - Kanal 350 SD: TeleBOM\n     - Kanal 350 SD: TeleDon (Available 06:00-14:00 and 18:00-06:00)\n     - Kanal 351 SD: euronews (Russian)\n     - Kanal 354 SD: OstWest\n     - Kanal 352 SD: Kinomir (Price: €9.95/month)\n\n#### 2. **TV-Paket Polski (Polish Package)**\n   - **Channels:**\n     - Kanal 360 SD: ITV\n     - Kanal 361 HD: TVP Polonia (Price: €4.95/month)\n\n#### 3. **TV-Paket Türk (Turkish Package)**\n   - **Channels:**\n     - Kanal 364 SD: ATV Avrupa\n     - Kanal 366 SD: Euro D\n     - Kanal 367 SD: Euro Star\n     - Kanal 370 HD: beIN Movies Turk\n     - Kanal 371 SD: HaberTürk TV\n     - Kanal 374 HD: Show Max\n     - Kanal 375 SD: TRT Çocuk\n     - Kanal 376 SD: TV8 Int\n     - Kanal 368 HD: Kanal 7 Avrupa (Price: €6.95/month)\n\n#### 4. **TV-Paket Italiano (Italian Package)**\n   - **Channels:**\n     - Kanal 380 SD: euronews (Italian)\n     - Kanal 381 SD: Rai 1\n     - Kanal 382 SD: Rai 2\n     - Kanal 383 SD: Rai 3 Lombardia (Price: €2.95/month)\n\n### Additional Notes\n- There are no minimum contract durations and the cancellation period is one month for all packages. This summary includes the channel offerings and their respective prices, which can aid in selecting the appropriate package based on preferences for international programming. The image provides information about the ""WOW options"" available through Sky for customers using Magenta TV 2.0 services. Here\'s a summary of the relevant points:\n\n### Key Features:\n1. **WOW Live Sports**: Access live sports through Sky Sport under the WOW Premium plan, which includes access to linear Sky TV channels. 2. **WOW Movies & Series**: Availability of the latest movies and series as part of the WOW Movies & Series options, starting from October 25, 2023. 3. **Standard Upgrade**: Customers who subscribe to WOW Premium receive an upgrade to the WOW Movies & Series Standard options, allowing access to linear Sky TV channels. ### Availability:\n- The WOW options can be accessed on **MagentaTV One** and **MagentaTV Stick**. ### Featured Channels (WOW SERIES):\n- **Sky Showcase**\n- **Sky One**\n- **Sky Crime**\n- **Sky Atlantic**\n- **Sky Documentaries**\n- **Universal TV**\n- **Discovery Channel**\n- **Cartoon Network**\n- **Nick Jr.**, among others. ### Additional Information:\n- Some channels may have availability restrictions based on scheduling. - Users can change the audio language under settings for their viewing preferences. This summary captures the main offerings and details presented in the image regarding the telecommunication services focused']",Sky Sport Kompakt offers original Sky conference coverage for Bundesliga matches.,simple,[{'source': '/Users/taha/Desktop/rag/data/MagentaEINS/pdf_MagentaTV_2.0.txt'}],True
