question,contexts,ground_truth,evolution_type,metadata,episode_done
What categories can search results be sorted into?,"['or YouTube content.\n\n### How to Search Effectively\n1. **Input Method**:\n   - Use the arrow keys and the OK button, or enter at least one character using the number keys on the remote control.\n   - Results will be displayed automatically as you type. The more characters entered, the more precise the search will become.\n\n2. **Search Results**:\n   - The search results are displayed in rows.\n   - Results can be sorted based on the input term into categories: Channels, TV, Films and Series, Persons,']","Search results can be sorted into the following categories: Channels, TV, Films and Series, Persons.",simple,[{}],True
What steps should be followed in the Magenta SmartHome App to restore a backup?,"['et, sobald an der Home Base 1 ""Power"" und ""Service"" dauerhaft weiß leuchten. Wählen Sie die Zentrale ""Home Base 1.0"" aus und geben Sie die Seriennummer der Home Base und Ihr Benutzerpasswort ein. Tippen Sie auf ""Weiter"" und folgen den Anweisungen auf Ihrem Gerät.\nDatensicherung wiederherstellen\nWenn\xa0Sie jetzt eine Wiederherstellung einer Datensicherung ausführen möchten, öffnen Sie in der Magenta SmartHome App im Menü\xa0""Einstellungen"" > ""Zentrale"" > ""Sichern und wiederherstellen"". Wählen Sie unte']","To restore a backup in the Magenta SmartHome App, open the menu and navigate to ""Einstellungen"" > ""Zentrale"" > ""Sichern und wiederherstellen"".",simple,[{}],True
What hardware is mentioned in relation to the Magenta TV Box for streaming with the Entertain Basistarif?,"['Source URL: https://telekomhilft.telekom.de/t5/TV/Glasfaser500-mit-Entertain-Basistarif-Upgrade-nicht-moeglich/td-p/6980362/jump-to/first-unread-message\nSubject: Glasfaser500 mit Entertain Basistarif: Upgrade nicht möglich\nContent: Hallo Community,habe vor 1Jahr diesen Tarif. Leider klappt das Streaming Angebot mit Entertain Basis nicht.Keine Ahnung, auf welcher Hardware das funktionieren soll.Bei mir gibt’s Magenta TV Box, TV One, TV Stick, Receiver 400 und Smart TV, sowie die Magenta App auf i']","The hardware mentioned in relation to the Magenta TV Box for streaming with the Entertain Basistarif includes the Magenta TV Box, TV One, TV Stick, Receiver 400, and Smart TV.",simple,[{}],True
What information can potential customers find in the general terms and conditions of Telekom Deutschland?,['website of Telekom Deutschland or their general terms and conditions.\n\nThis information may be useful for potential customers considering this mobile service plan.'],The answer to given question is not present in context,simple,[{}],True
What are the benefits of choosing the Tarife MagentaMobil Prepaid options?,"['. Entscheiden Sie sich zum Beispiel für die TarifeMagentaMobil Prepaid M,MagentaMobil Prepaid L,MagentaMobil Prepaid XLoderMagentaMobil Prepaid Max, telefonieren und versenden Sie SMS in alle deutschen Netze ohne Aufpreis – und das ganz ohne Vertragsbindung. Oder Sie wählen eine Handy Flat mit flexibler Vertragslaufzeit, z. B. mit einem unserermonatlich kündbaren Handyverträge.Sie sind noch auf der Suche nach dem passenden Smartphone für Ihre Allnet Flat? Dann nutzen Sie unserenHandyvergleich.\nB']","Die Vorteile der Wahl der Tarife MagentaMobil Prepaid Optionen sind, dass man in alle deutschen Netze ohne Aufpreis telefonieren und SMS versenden kann, und das ganz ohne Vertragsbindung.",simple,[{}],True
Welche Telekom-Tarifoption bietet volle Kostenkontrolle für Kinder?,"['s telefonieren, surfen und SMS schreiben kann. Natürlich erhalten Sie bei der Telekom auch eine Zusatzkarte für Kinder und Jugendliche ohne Gerät. Diese Lösung bietet sich an, wenn Ihr Nachwuchs bereits ein Mobiltelefon hat.\n\nQuestion: Wie behalte ich die volle Kostenkontrolle über den Handyvertrag meines Kindes?\nAnswer: Entscheiden Sie sich für einen Handytarif für Kinder oder Jugendliche bei der Telekom, so behalten Sie die volle Kostenkontrolle. Denn die Zusatzkarte ist zum Beispiel direkt an']",Die Antwort auf die gegebene Frage ist nicht im Kontext vorhanden,reasoning,[{}],True
What's the menu path for restoring a backup in the Magenta SmartHome App?,"['et, sobald an der Home Base 1 ""Power"" und ""Service"" dauerhaft weiß leuchten. Wählen Sie die Zentrale ""Home Base 1.0"" aus und geben Sie die Seriennummer der Home Base und Ihr Benutzerpasswort ein. Tippen Sie auf ""Weiter"" und folgen den Anweisungen auf Ihrem Gerät.\nDatensicherung wiederherstellen\nWenn\xa0Sie jetzt eine Wiederherstellung einer Datensicherung ausführen möchten, öffnen Sie in der Magenta SmartHome App im Menü\xa0""Einstellungen"" > ""Zentrale"" > ""Sichern und wiederherstellen"". Wählen Sie unte']","In the Magenta SmartHome App, the menu path for restoring a backup is ""Einstellungen"" > ""Zentrale"" > ""Sichern und wiederherstellen"".",reasoning,[{}],True
"Welche Speedports unterstützen VDSL, Glasfaser und sind Speedphone-kompatibel?","['Source URL: https://www.telekom.de/hilfe/geraete-zubehoer/router/speedport/vdsl-fiber-router\n\nQuestion: Welche Speedports sind für VDSL und Glasfaser geeignet?\nAnswer: Folgende Router unterstützen VDSL und Glasfaser (Fiber):\nVDSL 25 bis 50\nBis VDSL 100\nBis Fiber 200\nFiber 500 bis 1000\n• Speedport W 723V\n• Speedport Entry 2, NEO, W 921V\n• Speedport W 724V, W 925 Fiber, W 922V\n• Speedport Smart-Serie (Smart 2, 3, 4 und 4 Plus), W 925V, Pro, Pro Plus', 'Source URL: https://www.telekom.de/hilfe/geraete-zubehoer/telefone-und-anlagen/speedphone/geeignete-router-fuer-das-speedphone\n\nQuestion: An welchen Routern der Telekom kann ich das Speedphone betreiben?\nAnswer: Das Speedphone ist für Verbindungen mit dem Speedport Smart, Speedport Smart 2, Speedport Smart 3,\xa0Speedport Smart 4, Speedport Smart 4 Plus, Speedport W 723V, Speedport W 724V, Speedport Neo, Speedport Hybrid, Speedport W 921V, Speedport W 921 Fiber,\xa0Speedport W 922V, Speedport W 925V,']",Die Antwort auf die gegebene Frage ist nicht im Kontext vorhanden,multi_context,"[{}, {}]",True
How to restore a backup in the Magenta SmartHome App after setting up Home Base 1?,"['et, sobald an der Home Base 1 ""Power"" und ""Service"" dauerhaft weiß leuchten. Wählen Sie die Zentrale ""Home Base 1.0"" aus und geben Sie die Seriennummer der Home Base und Ihr Benutzerpasswort ein. Tippen Sie auf ""Weiter"" und folgen den Anweisungen auf Ihrem Gerät.\nDatensicherung wiederherstellen\nWenn\xa0Sie jetzt eine Wiederherstellung einer Datensicherung ausführen möchten, öffnen Sie in der Magenta SmartHome App im Menü\xa0""Einstellungen"" > ""Zentrale"" > ""Sichern und wiederherstellen"". Wählen Sie unte']",The answer to given question is not present in context,multi_context,[{}],True
What steps should be taken to access the Einstellungen menu in the Magenta SmartHome App?,"['et, sobald an der Home Base 1 ""Power"" und ""Service"" dauerhaft weiß leuchten. Wählen Sie die Zentrale ""Home Base 1.0"" aus und geben Sie die Seriennummer der Home Base und Ihr Benutzerpasswort ein. Tippen Sie auf ""Weiter"" und folgen den Anweisungen auf Ihrem Gerät.\nDatensicherung wiederherstellen\nWenn\xa0Sie jetzt eine Wiederherstellung einer Datensicherung ausführen möchten, öffnen Sie in der Magenta SmartHome App im Menü\xa0""Einstellungen"" > ""Zentrale"" > ""Sichern und wiederherstellen"". Wählen Sie unte']",The answer to given question is not present in context,simple,[{}],True
