question,contexts,ground_truth,evolution_type,metadata,episode_done
What are the features of the Multi-Touch Retina Display on the iPad (6. Generation)?,"['Source URL: https://www.telekom.de/hilfe/geraete-zubehoer/handy-smartphone-tablet/apple/ipad/ipad-6te-generation/hard-und-software/technische-ausstattung\n\nQuestion: Wie ist die technische Ausstattung des iPad (6. Generation)?\nAnswer: Das iPad der 6. Generation hat ein Multi-Touch Retina Display mit 24,63 cm Displaydiagonale (9,7 Zoll) mit LED-Hintergrundbeleuchtung und ISP-Technologie mit einer Auflösung von \xa02.048 x 1.536 Pixeln (16,7 Mio. Farben) sowie einer fettabweisenden Beschichtung.\nDas G']",The answer to given question is not present in context,simple,[{}],True
What ermöglicht die Digitalisierung von Gesprächen in der Internet-Telefonie?,"['efonsignalen auch Internet über die Telefonleitung übertragen. Dadurch ist die sogenannte Internet-Telefonie möglich, bei der das Gespräch digitalisiert und einzelne Datenpakete verschickt werden. Um zu Hause diese Art der Telefonie zu benutzen, benötigen Sie neben der DSL- Verbindung auch einen IP-fähigen Router.\n\nQuestion: Welche Angebote für Festnetz-Tarife gibt es bei der Telekom?\nAnswer: Bei der Telekom haben Sie die Möglichkeit, zwischen verschiedenen Tarifen zu wählen, darunter:\nMit einer']","Die Digitalisierung von Gesprächen in der Internet-Telefonie wird durch die Übertragung von Signalen über die Telefonleitung ermöglicht, wobei das Gespräch digitalisiert und in einzelne Datenpakete verschickt wird.",simple,[{}],True
What payment methods are available for using Telekom Multi-Guthaben on videoload.de?,"['Source URL: https://www.telekom.de/multi-guthaben/videoload-filme-serien-schauen\n\nQuestion: Benötige ich ein Telekom-Login-Konto?\nAnswer: Wenn Sie noch kein Telekom-Login besitzen, können Sie sich mit Ihrer E-Mail Adresse für videoload.de registrieren.\n\nQuestion: Über welchen Weg kann ich Inhalte bei videoload.de mit dem Telekom Multi-Guthaben bezahlen?\nAnswer: Wenn Sie über Ihren Browserwww.videoload.deaufrufen, können Sie Telekom Multi-Guthaben als anonymes Bezahlmittel wählen.\n\nQuestion: Wo s']",The answer to given question is not present in context,simple,[{}],True
What steps should you follow to manage a HotSpot network on your iPhone or iPad?,"['in Ihrem Tarif enthalten ist.\n• Öffnen Sie die ""Einstellungen"" auf dem iPhone oder iPad.\n• Wählen Sie ""WLAN"".\n• Tippen Sie beim Eintrag ""Telekom"" auf den Pfeil nach rechts. Sie müssen sich in einem HotSpot befinden, damit das Netzwerk ""Telekom"" angezeigt wird.\n• Wählen Sie ""Dieses Netzwerk ignorieren"", um die Einstellungen für das Netzwerk zu löschen.\n• Wählen Sie in der Liste wieder das Netzwerk ""Telekom"" aus.\n• Rufen Sie in Safari eine beliebige Webseite auf\n• Sobald die Seite zur Eingabe der']","Um ein HotSpot-Netzwerk auf Ihrem iPhone oder iPad zu verwalten, folgen Sie diesen Schritten: Öffnen Sie die ""Einstellungen"" auf dem iPhone oder iPad, wählen Sie ""WLAN"", tippen Sie beim Eintrag ""Telekom"" auf den Pfeil nach rechts (stellen Sie sicher, dass Sie sich in einem HotSpot befinden, damit das Netzwerk ""Telekom"" angezeigt wird), wählen Sie ""Dieses Netzwerk ignorieren"", um die Einstellungen für das Netzwerk zu löschen, wählen Sie in der Liste wieder das Netzwerk ""Telekom"" aus und rufen Sie in Safari eine beliebige Webseite auf.",simple,[{}],True
Wie unterscheidet sich der Speedport Smart 4 A vom Speedport Smart 4 R in Bezug auf Funktionen und Support-Optionen?,"['legen im Telekom-Shop haben mir einen Speedport Smart 4 A statt des Speedport Smart 4 R gegeben. Sie meinten, das Gerät sei identisch. Stimmt das? Ich möchte ungern auf Funktionen und ggfs. Support-Optionen verzichten, denn ich habe ja das aktuellste Modell gekauft und bezahlt.Vielen Dank & Grußestergi', 'e Kollegen im Telekom-Shop haben mir einen Speedport Smart 4 A statt des Speedport Smart 4 R gegeben. Sie meinten, das Gerät sei identisch. Stimmt das? Ich möchte ungern auf Funktionen und ggfs. Support-Optionen verzichten, denn ich habe ja das aktuellste Modell gekauft und bezahlt.Vielen Dank & Grußestergi\n- Hallo Martin,auch Dir herzlichen Dank für Deinen Anruf und Dein engagiertes Auftreten.Die Lösung erfolgte durch Austausch des Routers. Der funkt auch auf der 2,4 GHz-Frequenz und damit tun']",Die Antwort auf die gegebene Frage ist im Kontext nicht vorhanden,simple,"[{}, {}]",True
Wie zahlt man anonym mit Telekom Multi-Guthaben auf videoload.de?,"['Source URL: https://www.telekom.de/multi-guthaben/videoload-filme-serien-schauen\n\nQuestion: Benötige ich ein Telekom-Login-Konto?\nAnswer: Wenn Sie noch kein Telekom-Login besitzen, können Sie sich mit Ihrer E-Mail Adresse für videoload.de registrieren.\n\nQuestion: Über welchen Weg kann ich Inhalte bei videoload.de mit dem Telekom Multi-Guthaben bezahlen?\nAnswer: Wenn Sie über Ihren Browserwww.videoload.deaufrufen, können Sie Telekom Multi-Guthaben als anonymes Bezahlmittel wählen.\n\nQuestion: Wo s']","Um anonym mit Telekom Multi-Guthaben auf videoload.de zu zahlen, können Sie die Website www.videoload.de aufrufen und Telekom Multi-Guthaben als anonymes Bezahlmittel wählen.",reasoning,[{}],True
Welche Zustände können Geräte im Ausschaltmodus bei Szenen haben?,"['Szenen"". Sie erstellen eine Szene, indem Sie auf das Pluszeichen tippen und die Geräte auswählen, die Sie steuern möchten. Jedes Gerät bietet verschiedene Einstellungen. Die Szene kann abgespeichert und über ein Symbol oder eine Fernbedienung aktiviert werden, der eine bestimmte Taste zugeordnet wird. Man kann auch eine Szene ausschalten und definieren, welche Zustände die Geräte im Ausschaltmodus haben sollen. Szenarien können jederzeit geändert, gelöscht oder über einen Schalter abgeschaltet w']",Die Antwort auf die gegebene Frage ist im Kontext nicht vorhanden,reasoning,[{}],True
"Was braucht man, um ein Streaming-Abo auf dem MagentaTV Stick zu aktivieren, und wie hängt ein Google-Konto damit zusammen?","['in Google-Konto, das Sie dann\xa0Ihrem MagentaTV Stick hinzufügen.\nSie\xa0können\xa0die Erstellung eines Google-Kontos auch überspringen\xa0und zu einem späteren Zeitpunkt über das Menü des MagentaTV wie folgt durchführen:\n• Das Google-Konto können Sie während der Ersteinrichtung Ihres\xa0MagentaTV Sticks erstellen.\n• Es ist auch möglich, ein bereits bestehendes\xa0Google-Konto zu verwenden.\n\nQuestion: Ich habe ein Streaming Abo (z. B. Netflix oder Disney+). Wie kann ich dieses auf dem MagentaTV Stick nutzen?\nAns', 'Streaming Abo (z. B. Netflix oder Disney+). Wie kann ich dieses auf dem MagentaTV Stick nutzen?\nAnswer: In diesem Fall können Sie,\xa0wenn Sie sich schon einen Account dafür angelegt haben,\xa0die entsprechende Streaming App auf Ihrem MagentaTV Stick nutzen.\nEinige Streaming Apps\xa0wie z. B. Disney+, RTL+\xa0oder Netflix\xa0sind bereits auf dem MagentaTV Stick vorinstalliert. Ansonsten können diese und zahlreiche weitere Apps über den Google Play Store herunterladen werden (Google Account erforderlich).\n\nQue']","Um ein Streaming-Abo auf dem MagentaTV Stick zu aktivieren, benötigt man einen Account für den jeweiligen Streaming-Dienst. Einige Streaming-Apps wie Disney+, RTL+ oder Netflix sind bereits vorinstalliert. Falls die gewünschte App nicht vorinstalliert ist, kann sie über den Google Play Store heruntergeladen werden, wofür ein Google-Konto erforderlich ist.",multi_context,"[{}, {}]",True
"What key factors and limits should be noted for Homematic IP in a SmartHome setup, especially for router and device compatibility?","['Homematic IP und Zigbee erforderlich. HomeMatic kann nicht mit einem Router Speedport Smart als SmartHome Zentrale genutzt werden.\nSie benötigen mehr Informationen?Mehr Informationen und Vorteile zum Magenta SmartHome und Magenta SmartHome ProZentralen und FunkstandardsGeräte für Ihr SmartHome', 'pp unterstützt uneingeschränkt alle Funktionen, die auchMagenta SmartHome Proanbietet. Jedoch sind einige Geräte nicht in der kostenfreien App-Version enthalten.Die Profi-Variante von Magenta SmartHome bietet Nutzern noch mehr Möglichkeiten: Es lassen sich auch Geräte der Funkstandards Zigbee, HomeMatic und Homematic IP vernetzen.Hinweis:Je nach verwendeter Zentrale sind ergänzende Funksticks für Homematic IP und Zigbee erforderlich. HomeMatic kann nicht mit einem Router Speedport Smart als Smar']","Key factors and limits for Homematic IP in a SmartHome setup include the requirement of additional radio sticks for Homematic IP and Zigbee, and the incompatibility of HomeMatic with the Speedport Smart router as a SmartHome central.",multi_context,"[{}, {}]",True
Was sind die Unterschiede zwischen dem Speedport Smart 4 A und dem Speedport Smart 4 R?,"['legen im Telekom-Shop haben mir einen Speedport Smart 4 A statt des Speedport Smart 4 R gegeben. Sie meinten, das Gerät sei identisch. Stimmt das? Ich möchte ungern auf Funktionen und ggfs. Support-Optionen verzichten, denn ich habe ja das aktuellste Modell gekauft und bezahlt.Vielen Dank & Grußestergi', 'e Kollegen im Telekom-Shop haben mir einen Speedport Smart 4 A statt des Speedport Smart 4 R gegeben. Sie meinten, das Gerät sei identisch. Stimmt das? Ich möchte ungern auf Funktionen und ggfs. Support-Optionen verzichten, denn ich habe ja das aktuellste Modell gekauft und bezahlt.Vielen Dank & Grußestergi\n- Hallo Martin,auch Dir herzlichen Dank für Deinen Anruf und Dein engagiertes Auftreten.Die Lösung erfolgte durch Austausch des Routers. Der funkt auch auf der 2,4 GHz-Frequenz und damit tun']",Die Antwort auf die gegebene Frage ist nicht im Kontext vorhanden,simple,"[{}, {}]",True
